date,n1,n2,n3,n4,n5,s1,s2
2020-02-04,35,21,33,23,47,6,7
2020-02-07,17,15,9,25,40,9,3
2020-02-11,43,26,24,32,46,6,10
2020-02-14,5,35,20,41,49,10,6
2020-02-18,34,32,11,38,47,10,2
2020-02-21,32,23,30,45,7,5,9
2020-02-25,4,42,18,27,1,6,4
2020-02-28,8,11,23,20,22,4,3
2020-03-03,27,44,4,14,45,10,1
2020-03-06,15,43,38,45,46,11,1
2020-03-10,23,43,30,11,37,5,12
2020-03-13,21,3,11,36,27,10,9
2020-03-17,5,7,16,8,20,12,2
2020-03-20,40,9,20,34,3,6,12
2020-03-24,33,12,7,26,30,11,10
2020-03-27,14,41,27,46,11,3,2
2020-03-31,30,12,17,24,36,9,1
2020-04-03,50,16,34,19,46,2,6
2020-04-07,33,14,4,48,5,7,12
2020-04-10,33,17,3,39,10,1,4
2020-04-14,40,34,29,6,35,11,4
2020-04-17,37,32,45,28,16,1,11
2020-04-21,11,10,23,14,28,6,8
2020-04-24,28,5,1,21,19,7,4
2020-04-28,32,28,26,15,23,1,5
2020-05-01,47,20,19,45,38,2,6
2020-05-05,2,27,22,10,41,3,2
2020-05-08,33,38,8,25,32,9,7
2020-05-12,16,9,29,39,37,4,11
2020-05-15,34,23,32,39,11,1,6
2020-05-19,43,32,37,25,5,6,7
2020-05-22,18,22,32,3,27,2,7
2020-05-26,9,4,27,14,21,4,6
2020-05-29,4,11,8,46,19,4,8
2020-06-02,49,22,12,26,10,11,7
2020-06-05,24,11,37,17,5,6,3
2020-06-09,46,36,27,5,15,8,2
2020-06-12,24,39,46,2,45,4,8
2020-06-16,39,9,11,4,17,2,10
2020-06-19,14,5,24,43,19,3,11
2020-06-23,19,46,49,12,2,8,1
2020-06-26,12,26,21,1,10,5,11
2020-06-30,11,42,1,28,6,2,10
2020-07-03,27,4,16,39,37,3,6
2020-07-07,41,33,23,12,16,8,10
2020-07-10,30,38,15,17,23,2,7
2020-07-14,30,22,37,11,47,9,10
2020-07-17,7,27,41,15,43,7,9
2020-07-21,29,15,42,14,24,2,4
2020-07-24,8,28,50,27,9,12,4
2020-07-28,34,17,13,9,15,7,2
2020-07-31,30,46,24,21,49,2,5
2020-08-04,42,2,5,1,15,8,5
2020-08-07,36,20,5,41,21,11,6
2020-08-11,14,13,50,8,42,3,9
2020-08-14,49,10,42,9,19,4,12
2020-08-18,12,34,42,17,6,12,5
2020-08-21,10,35,50,15,44,5,3
2020-08-25,18,37,39,30,7,10,8
2020-08-28,31,16,17,7,12,9,7
2020-09-01,46,8,4,33,10,8,11
2020-09-04,6,29,43,40,22,7,4
2020-09-08,9,35,2,41,31,12,9
2020-09-11,34,38,45,43,42,12,9
2020-09-15,38,25,30,16,20,8,6
2020-09-18,25,45,19,2,10,1,7
2020-09-22,28,39,25,40,16,1,6
2020-09-25,34,45,19,23,37,1,7
2020-09-29,16,14,4,44,41,11,12
2020-10-02,15,45,12,6,40,9,3
2020-10-06,41,36,4,21,47,11,9
2020-10-09,15,11,35,50,41,8,5
2020-10-13,5,41,46,38,14,10,1
2020-10-16,15,40,38,33,50,6,3
2020-10-20,15,5,42,37,6,4,3
2020-10-23,19,23,10,21,15,3,12
2020-10-27,13,15,28,44,32,12,3
2020-10-30,21,16,20,12,28,9,3
2020-11-03,5,7,18,20,30,7,6
2020-11-06,12,37,7,50,40,1,2
2020-11-10,19,3,38,32,29,12,5
2020-11-13,31,17,1,28,5,1,10
2020-11-17,30,25,44,19,16,6,2
2020-11-20,28,50,48,39,29,5,7
2020-11-24,50,33,38,42,25,12,8
2020-11-27,8,14,16,5,2,9,8
2020-12-01,29,49,20,14,47,12,4
2020-12-04,14,38,20,27,34,1,11
2020-12-08,1,46,21,4,24,2,12
2020-12-11,41,13,24,9,6,3,12
2020-12-15,21,9,35,13,29,2,1
2020-12-18,2,21,17,3,13,7,8
2020-12-22,42,10,50,2,16,11,4
2020-12-25,16,21,27,30,32,3,5
2020-12-29,7,40,39,45,32,8,3
2021-01-01,32,16,48,44,28,1,9
2021-01-05,37,42,12,34,38,3,1
2021-01-08,42,23,37,41,18,4,6
2021-01-12,10,34,2,35,18,6,9
2021-01-15,27,10,4,40,38,11,3
2021-01-19,25,35,31,27,43,5,6
2021-01-22,16,47,42,8,44,7,6
2021-01-26,7,37,25,40,5,2,8
2021-01-29,27,36,5,42,1,6,1
2021-02-02,38,18,48,20,35,9,12
2021-02-05,45,12,37,19,44,6,2
2021-02-09,24,5,31,10,37,9,10
2021-02-12,32,7,36,30,23,12,8
2021-02-16,30,25,29,9,5,6,7
2021-02-19,25,48,4,46,12,12,7
2021-02-23,30,9,39,18,45,3,1
2021-02-26,6,12,22,29,33,11,6
2021-03-02,24,49,19,26,2,6,7
2021-03-05,4,46,5,39,48,7,10
2021-03-09,16,21,33,32,1,11,12
2021-03-12,11,4,6,44,9,10,11
2021-03-16,32,25,23,47,35,2,6
2021-03-19,35,44,43,9,3,10,1
2021-03-23,2,26,29,36,49,3,9
2021-03-26,49,12,50,10,37,8,3
2021-03-30,42,24,29,28,27,8,4
2021-04-02,21,47,4,40,34,2,5
2021-04-06,50,21,37,38,2,8,7
2021-04-09,44,8,35,32,2,8,11
2021-04-13,47,16,31,50,20,8,2
2021-04-16,29,11,40,48,6,9,5
2021-04-20,28,46,17,5,41,11,10
2021-04-23,29,19,15,3,14,2,8
2021-04-27,13,49,14,24,35,1,10
2021-04-30,1,28,24,46,16,11,2
2021-05-04,46,13,10,28,3,11,4
2021-05-07,33,38,47,22,14,9,8
2021-05-11,14,46,43,34,25,6,5
2021-05-14,6,38,29,16,18,6,11
2021-05-18,13,39,40,38,5,4,12
2021-05-21,9,13,35,2,15,10,3
2021-05-25,38,21,26,1,30,8,2
2021-05-28,16,40,13,11,34,1,12
2021-06-01,35,10,44,3,26,7,6
2021-06-04,40,20,36,46,7,2,4
2021-06-08,47,26,2,36,11,9,7
2021-06-11,17,33,9,21,39,7,11
2021-06-15,30,31,11,26,21,2,3
2021-06-18,27,20,41,11,30,3,5
2021-06-22,27,24,26,6,41,8,3
2021-06-25,33,29,36,1,30,12,3
2021-06-29,6,12,24,20,48,6,5
2021-07-02,49,29,38,9,14,7,10
2021-07-06,2,42,5,27,21,9,11
2021-07-09,37,19,6,36,49,11,4
2021-07-13,22,11,6,8,5,3,4
2021-07-16,47,5,16,42,49,3,11
2021-07-20,19,48,3,41,12,6,9
2021-07-23,34,50,26,23,24,4,2
2021-07-27,19,21,25,5,9,12,10
2021-07-30,23,10,35,33,37,5,10
2021-08-03,46,23,45,21,17,7,11
2021-08-06,32,21,7,26,14,12,4
2021-08-10,47,9,48,49,37,2,7
2021-08-13,49,44,47,12,6,8,12
